answer,clue
GENT,Fellow
SPADE,Club alternative
DREW,Keene sleuth
GONE,Hopeless
TAIGA,Subarctic forest
AXES,X and Y on a graph
STALK,*Celery unit
XIAN,Chinese city known for its terra-cotta warriors
WOK,Chinese cooker
COPS,Beat people?
OMEGA,Watch word?
DEMON,Exorcist's quarry
POND,Duffer's obstacle
RAGS,"With 35 Down, the American Dream"
SAILS,Goes to sea
RONAN,Saint in a Sir Walter Scott title
I POS,Debuts on the N.Y.S.E.
DARK,Unlit
STEIN,It's held during Oktoberfest
CSA,Group defeated in '65
ESO,"That, in Sonora"
KLEIN,"""Primary Colors"" author"
SPIRO,He served between Hubert and Gerald
SID,Caesar on TV
DANCE,The Harlem Shake or the Dougie
MOR,Neighbor of W. Sahara
PULSE,It comes from the heart
FUNDS,Money to use
TOT,Small amount of liquor
CYCLE,"New moon to new moon, e.g."
TESLA,"Subject of the biography ""The Man Who Invented the Twentieth Century"""
MOE,Skier Tommy
EPEE,It has a guarded tip
TRO I,"Deanna of ""Star Trek: T.N.G."""
HIP,Wise
A PIN,"""... hear ___ drop"""
USSR,Yalta conf. locale
ENVY,"""Green-eyed monster"""
SHOVE,Push roughly
ERROL,Owl in Harry Potter tales
EMU,Bird that can run up to 30 m.p.h.
SRO,"""No seats"" sign"
WIND,Chimes player
ABC,Kind of order ... or a hint to this puzzle's unusual construction
TI VO,DVR pioneer
A YES,Pair for a captain?
GAY,Frolicsome
UZIS,Pieces in a Mideast armory
EN YA,"""Amarantine"" Grammy winner"
THAT,Pointer's request?
BANS,Prohibitions
MIRED,"Stuck, with ""down"""
NOS,What horizontal head shakes signify
DUB,Designate
DOCS,"Official paperwork, for short"
DULL,Blunt
SIT,Common canine command
ENG,Half a celebrated set
AHA,"""So that's your game!"""
BROOM,Witch's ride
WAITE,"""Missing You"" singer John"
ELA,"She, in Brazil"
NAOMI,"Actress Watts of ""Birdman"""
TABOO,Verboten
RALPH,"""Lord of the Flies"" chief"
SO TO,"""___ make a long story short..."""
BLUE,Cyan
ROARS,Bellows
WERE,Be in a certain mood?
MPA A,Org. associated with filmratings.com
TATAR,Steppes settler
SOW,Scatter
WIN,Be lucky in the lottery
LOAM,Nursery bagful
KLEES,"Paintings such as ""Cat and Bird"" and ""The Goldfish"""
SOS,"""H-E-L-P!"""
DEO,___ gratias
ATM,"Rest stop convenience, for short"
ISTH,Neck of land: Abbr.
FLIP,Basic gymnastics move
HECHT,"""The Front Page"" co-writer Ben"
DIAL,Dove competitor
OGRES,Dungeons & Dragons race
MANDY,1975 #1 Barry Manilow hit
RAT,Judas
FLOR,Thing with pétalos
EVE,Adam's mate
ODOR,Landfill's emanation
ACT,Not hesitate
BABEL,2006 Brad Pitt film that was a Best Picture nominee
DRAYS,Heavy carts
VCR,Zapper target
YET,"""On the other hand ..."""
ARTIE,"___ Ziff, ""The Simpsons"" character voiced by Jon Lovitz"
SOOTY,Like Santa's suit after going through the chimney
JOS,"Betty, Bobbie and Billie followers on ""Petticoat Junction"""
LS TS,W.W. II transports: Abbr.
SKIT,Variety show offering
HEELS,They can be spiked
EGOS,They're big in Hollywood
SCRUB,Bench sitter
SHOP,"Butcher's, baker's or candlestick maker's"
POP,Dad
PALLS,Has a wearying effect
RARE,Still pink
SEGNO,"Musical mark meaning ""repeat"""
TAME,Wild's opposite
ATARI,Console pioneer
SKATE,"Shirk duties, slangily"
BIOG,Like some sketches: Abbr.
I WAS,"Elvis Presley's ""___ the One"""
CLUE,It may be found with a magnifying glass
BIS,"Dumbbell curls build them, for short"
MERV,Longtime first name in TV talk
KNEED,Struck a low blow
ORO,___ y plata (Montana's motto)
UDALL,60's Secretary of the Interior
MUG,"Hot cocoa container, maybe"
PRESS,Court defense?
TWEET,Many a Donald Trump announcement
PUPS,"Litter, maybe"
ERE I,"""___ learn love, I'll practise to obey"": Shak."
YAK,Chin-wag
ANTIC,Bit of clowning around
A DES,Lemon and lime drinks
BASTA,"""Enough!,"" to a Roman"
OPEN,All-comers' tournament
GAP,Interval
ALB,Tirana's land: Abbr.
FASTS,Takes nothing in
EVENT,"1-Across, for one"
VAST,Wide as the ocean
ALDEN,Longfellow character
RONDO,"Sonata finale, often"
LUNGS,Screamer's necessity
LAUDS,Praises
PATS,"Frisks, with ""down"""
RAM,Head-butter
I RR,Factory second: Abbr.
AULD,January 1 title word
CISCO,Pancho's pal
LASTS,Stands up
ESSE,"Being, to Caesar"
PRIMO,Of the best quality
TV A,Grp. that used to give a dam?
DRAW,Gunfight command
MANET,"""Luncheon on the Grass"" painter Edouard"
RBI,Jeter stat.
LIN,Architectural designer of New York's Museum for African Art
LASS,Highlands girl
ALFAS,"Some Spiders, informally"
LOAF,Hang out
GPS,"Car navigational aid, for short"
MERE,Pure
CLING,Remain close
PRAM,It's pushed in Kensington Gardens
LOCO,Gonzo
REDO,Another attempt
MUCHO,"A ton, in Tijuana"
MAKE,"Oldsmobile, e.g."
TIMON,"The 82-Down in ""The Lion King"""
GOES,"""Anything ___"""
MINES,Ship danger
ABS,"Gym rat's ""six-pack"""
KEATS,"""Endymion"" poet"
LAGER,22-Across product
ROMEO,Lover boy
PSAT,Its max. score is 240
CACHE,"Squirrel's nuts, maybe"
A SEA,"Where Billy Budd went in ""Billy Budd"""
ING,Suffix with seem or teem
I AM,Terse admission
MANE,Pride of lions
DOE,Jane or John in court
TONAL,Having melodic harmony
AGA,Ankara title
ARAGE,In ___ (seething)
TWO,A couple of
MOLD,It may be broken by a maverick
MANOR,Reeve's charge
LATIN,"With 71-Across, sort of person who might enjoy this puzzle?"
SCROD,"Catch of the day, say, in New England"
ARI,N.L. West team
ARES,God who cuckolded Hephaestus
LEFT,Half of a one-two
GAYLE,Country singer Crystal
QUITO,Headquarters of the Union of South American Nations
RUST,Red-brown
TIDED,"Rose and fell, in a way"
ETAT,"Province, to the French"
NAUT,Suffix with aqua
SHIN,Much-kicked body part
RENE,Clément with two Oscar-winning films
COAL,Fossil fuel
TORT,"Battery, e.g."
RENO,"""___ 911!"" (comedy series)"
STAT,Interceptions or yards rushing
ES OS,"Those, in San José"
JOKE,Friars Club offering
SONIA,One of the Gandhis
FYI,Memo letters
BASS,Chorale part
SNAPS,Says quickly
EASED,Moved very carefully
WREN,Hedgerow nester
ARM,What a sleeve covers
EEG,Neur. readout
SIEGE,Cause of a downfall
A ME,French soul
AMIES,French 38-Down
SHIES,Recoils
GLAD,Kind of hand
IT OR,"""... like ___ not!"""
MUD,Toast word
MUTE,Trombone attachment
GABY,"One of the housewives on ""Desperate Housewives"""
AND,Y : Spanish :: ___ : English
IDA,Ore. neighbor
APTLY,Suitably
ATOM,"The H, H or O in H2O"
INNER,___ peace
KARMA,Principle of cosmic balance
CORE,Part of an apple
KHAN,___ Academy (means of online education)
CLAMP,Surgery aid
USE,Waste not
APES,"""Great"" beasts"
OAK,Tree on a Connecticut state quarter
BLAST,"Great time, or great noise"
ATTA,Kofi ___ Annan
ENOS,Biblical son
ROME,Center of Catholicism
RAP,Knock
GAUD,Showy trinket
AMOS,Half an old radio team
MISS,Oversight
NASAL,Sounding congested
LOCKE,Father of English empiricism
CENT,"Flying Eagle, 1856-58"
ERST,Word with while
NSC,Grp. advising the president
HAZE,Hangover feeling
ALLOY,Fusible metal
HAY,Part of a manger scene
ON EB,"Apartment next to the super's, maybe"
SLUMP,Hitter's problem
BARKS,Potential burglary deterrents
LIKE,Parallel to
OHM,His law is represented as I = V/R
IKEA,Swedish retail giant
BALLS,"Muddles, with ""up"""
YARE,"Easily maneuvered, as a boat"
EGG,"Shape of Mork's spacecraft on ""Mork & Mindy"""
ELEV,Roadside sign abbr.
LAME,Showy wear
VOW,Word
ARSE,Seat in Parliament?
IVOR,"""War's Embers"" poet Gurney"
AWS,Remarks around cute babies
IRAS,Nest eggs
RO JA,"Red, as a Spanish wine"
REAMS,Bawls out
BURRS,Scottish accents
PEA,Potpie vegetable
FAIR,Barometer reading
SKI,Boot attachment
ISSUE,Children
LAZY,Slow-moving
AS YE,"""___ Came From the Holy Land"" (classic poem)"
HSI,Chinese philosopher Chu ___
OLES,Praise for a picador
HORDE,Swarm
KEOGH,Certain retirement plan
PD A,"BlackBerry, e.g., briefly"
TOQUE,Alternative to a pillbox
ABCS,The basics
LETS,"""Oh, why not?"""
SONS,"Company name ender after ""&"""
GIFT,"Photographic memory, e.g."
INCH,1/36 of a yard
LYNN,City between Boston and Gloucester
AVEC,"With, en français"
CHINK,Armor flaw
AFL,Org. in a 1955 merger
OVA,Tiny tube travelers
LYS,French-Belgian boundary river
PAW,One leaving its mark
LONI,"""WKRP"" actress Anderson"
STATS,"Rebounds, shooting percentage, etc."
KNIT,"Jersey, e.g."
TAMED,Subservient
LEGER,"""Tubism"" artist"
RADAR,Speeder's downfall
ABYSS,It's unfathomable
ATT,"Esq., usually"
TAG,Graffiti signature
STEN,Sheppard and Turpin's gun
LUKE,Darth Vader's son
SOAKS,"Rips off, in a way"
TSADE,18th Hebrew letter
TOTEM,Head of an Indian tribe
WIG,Clown's need
SKY,Cloud's locale
MORE,Cry of greed
ALL,Comprehensively
ERLE,Gardner a k a A. A. Fair
CATH,Like J.F.K.: Abbr.
JAM,Musical improv
GRUEL,What Oliver asked for more of
SURLY,Bad-tempered and unfriendly
PINOT,___ noir
FORUM,Place to chat
PARR,Henry VIII's sixth
TUBA,March sound
PENDS,Isn't over yet
DYSON,James who invented the Dual Cyclone vacuum cleaner
SPINE,It can be tapped
OPIE,"Andy Taylor's son, in 60's TV"
SLUM,Squalid digs
LEAF,Fall faller
WADS,Rolls of bills
LSD,It was dropped in the '60s
DO A,_____ good turn (help)
SAX,Lisa Simpson plays it
LIMO,Bar locale
EAT,"Do some carbo-loading, e.g."
EN DY,Onetime Expos/Mets outfielder Chávez
TEE,Relative of a tank top
VENUE,Show's place
AV EO,Chevy that's now called the Sonic
REM,"Rock group from Athens, Georgia"
SMARM,Unctuousness
STER,Spin tail?
STOWS,"Shelves, maybe"
SITAR,Indian instrument
UNE,Armagnac article
RUBY,Red shade
LYTE,Hydro- or electro- follower
ARF,Sound that a muzzle muffles
GROT,"Cavern, in poetry"
ET AS,Pilots' info
MUSSY,Untidy
DOC,Vet
TAP,FISA warrant objective
CRUZ,"""Volver"" actress, 2006"
NOAHS,Whose ark?
OUR,Homophone of 50-Down
HIE,Get going
TSARS,Pre-Soviet succession
JOLT,Give a turn
HAG,Fairy tale figure
STEM,Spoon handle
NOH,Japanese dance-drama
UTES,Early Coloradans
GAS,Mylanta target
CORD,Twine
LOVE,Starting score in tennis
HENS,Rooster's mates
EELER,Angler with pots
ATTAR,Perfume ingredient
SITS,"Does a job for parents, maybe"
OTTER,"Hermione's Patronus, in the Harry Potter books"
ANTS,Some are queens
FLOP,Hit's opposite
PASSE,Not in anymore
MORN,Literary time of day
APT,Inclined (to)
ARKS,Torah storers
CRAZE,Mania
ENATE,Related through the mother
HTS,Figs. on drivers' licenses
TIMER,Stopwatch
LOLL,Lie a lot
FGH,String after E
FLO,"_____ Jo, of the '88 Olympics"
LOUSE,No-good sort
Y2K,Kind of bug
POLIO,Old disease
RND,"Three minutes, in boxing: Abbr."
ULAN,"Mongolian for ""red"""
ST KS,Nasdaq listings: Abbr.
LTD,Cousin of inc.
DIS,Put down on the street
GMT,Prime meridian hrs.
BEADY,Like some eyes
TNT,Cause of many a blowup
PAPA,Nickname for Hemingway
DWELT,Lived
ROOTS,Cheers (for)
MOON,Pull up a seat for?
FLASH,Pizazz
CLAMS,Bucks
RUMOR,Kind of mill
TROIS,Parisian crowd?
SLAVS,"Poles, e.g."
A TL,"N.L. East city, on scoreboards"
BRAHE,Kepler's contemporary and assistant
DESK,"Rolltop, e.g."
HENIE,"Olympic skating champ of 1928, 1932 and 1936"
PSHAW,"""I don't buy it"""
STOMP,Lively dance
HUGER,More a celebrity
EERIE,"Like ""The Twilight Zone"" music"
GIRL,See 53-Down
TEAM,___ U.S.A.
SIAM,King Mongkut's realm
STICK,See 5-Across
FONTS,Desktop publisher's supply
ALAN,English actor Bates
DEAL,"It may be new, raw or big"
RAHM,Obama adviser Emanuel
THO,However briefly?
ARTS,Dark ___ (Voldemort's practice in the Harry Potter books)
USDA,Meat stamp inits.
PH DS,Professors' degs.
SATAN,One leading to temptation?
PD AS,"Multipurpose hand-held devices, for short"
EES,Many M.I.T. grads
EWELL,"Actor Tom of ""The Girl Can't Help It"""
SHES,"1976 hit""___Gone"""
PLOP,Sit (down)
YORK,Sergeant in a 1941 film
PMS,"Afternoons and evenings, briefly"
AINU,Japanese aborigine
GPA,"Transcript figure, for short"
TELE,Conference start
SPOT,"""Out, damned ___!"""
ASAP,When to do a pressing job
VIA,Connecting word
AMAZE,Bowl over
ALL I,"1973 hit ""_____ Know"""
PANEL,Hidden room's secret opening
GYRO,Pilot's instrument
ZESTY,Energetic
TIX,B.O. buys
FRY,Lie in the sun with suntan oil
BIKE,Kind of messenger
OVER,Settled
NEVIS,Neighbor of St. Kitts
THEFT,Misappropriation
MITE,Little critter
PINTO,Former Ford subcompact
CORGI,Cattle-herding breed
GAGE,Revolutionary War general Thomas ___
LA IT,It might be found in a café
MAINE,Home to Bates College
LES,"Die, across the Rhine"
TBSP,Shortening in the kitchen?
RINSE,Get the suds out
SEER,"Merlin, for one"
DADS,American paters
ALEX,Third baseman Rodriguez
AEON,Extended time
CRAB,Find fault
USA,_____ Today
APRON,Mover with strings
MATTS,Slugger Williams and others
SPIKE,Really high heel
OLA,Ending with pay or plug
EMI,Owner of Capitol Records and Parlophone
I DOS,Altar exchange
ASP,Sacred serpent
EVIL,Satan's work
SMORE,Marshmallowy treat
NYE,Former PBS host with a bow tie
NES,Dr. Mario console
PRET,"___ à manger (ready to eat, in France)"
COLIC,Woe for newborns (and thus new parents as well)
A ROW,In ranks
HOUR,Part of a day
ALAS,Word of resignation
DAZED,Out of it
AIDE,Second
HOSES,Extinguisher attachments
NETS,Separators on badminton courts
NIA,Pop singer Peeples
MAP,Driving aid
TOG,"Coat, in old slang"
EBBS,Becomes less active
IMPS,Troublemakers
VEGAS,"Setting for ""Ocean's 11"""
KIT,Set of tools
ALI,Big name in flooring?
TOTAL,Destroy
CHEF,"TV's ""Top ___"""
VENOM,Snake spit
TOES,Nail holders
SPANK,Lick
MIA,POW/___ bracelet (popular 1970s wear)
SEEN,Caught sight of
STU,Original Beatles bassist ___ Sutcliffe
UNIT,"Inch, e.g."
ETHIC,Moral principle
ALAIN,Novelist ___-René Lesage
TOILS,Drudges
DALEY,Commerce secretary before Mineta
AGGIE,New Mexico State athlete
TEPID,Lukewarm
HOOF,Hard thing to walk on?
CCS,Includes in an e-mailing
APSOS,Lhasa ___ (supposed good luck bringers)
REPS,Solicits (for)
STE,Québec place name abbr.
MCV,Year Emperor Henry IV was dethroned
APART,In two
PSS,Supp. writings
OLGA,"Actress Kurylenko of ""Quantum of Solace"""
OLD,Fossillike
ALES,Bass line?
SLAT,Wood strip used as a bed support
POACH,Take illegally
CAVE,Spelunker's hangout
AVAST,Order at sea
CRETE,Where Sir Arthur Evans excavated
ATTIC,Top-flight story
SHOT,Completely worn out
RUT,"Endless 9-to-5 job, e.g."
NYG,"Eli Manning's team, on scoreboards"
ANT,"Word with white, red or black"
CASTE,Queens or soldiers
TED,Big name in talks
RELAY,Electrical setup
MEL,"Harris of ""thirtysomething"""
NUTTY,Eccentric
TRIM,Bit off the top
POO,Cutesy-___
PARE,Whittle (down)
GARB,Dress
RENEW,Entreaty to a subscriber
STING,Police trap
REESE,Pee Wee of the Dodgers
NNE,How the St. Lawrence flows through Montreal: Abbr.
A LEE,Skipper's direction
UNCUT,Like raw diamonds
SCOT,"Sean Connery, e.g."
BRAE,Greenock hillock
DAMES,Skirts
EDNA,___St. Vincent Millay
OLLIE,Stan's pal in old films
NENE,Rare goose
MASH,Movie-spinoff TV series
APNEA,Breathing disorder
RAF,W.W. II inits.
ETNA,"Matthew Arnold's ""Empedocles on ___"""
TREY,Poker card
DELI,Grocery section
UNTO,"""Do ___ others as..."""
SON,"Start of a sequel, sometimes"
PITT,"Brad of ""Moneyball"""
ESSAY,Paper
SPEAR,Catch suddenly*
LAURA,1944 Preminger movie
EWES,Some sheep
ABNER,"Daisy Mae's love, in the funnies"
SPIN,Go round and round
QTY,Amt.
RADON,Cause of some poisoning
SLOTS,Match game?
NDAK,State bordering Can.
DERN,"""Coming Home"" co-star"
MULTI,Prefix with grain
GUARD,Sentry
SCOUT,Advance person
SHY,Hardly bold
TMS,They often accompany logos: Abbr.
XENA,Lawless role
TAT A,"""Off for now, love"""
BID,Tender
AGONY,Hell
CUL,French bottom
SISI,Mexican's assent
KURT,Late rocker Cobain
KEEL,Shipbuilder's starting point
AT OZ,Fully
FARO,Casino game
SUE,Court
PARD,Frontier friend
BOER,"Literally, farmer"
TAI,Popular sushi fish
ICBM,"Nuclear weapon delivery device, for short"
PAS,___ de deux
A LIE,"""___ of the Mind"" (Sam Shepard play)"
CHET,Huntley of 50's-60's NBC news
VIM,Enthusiasm
PLATH,"Sylvia who wrote ""The Bell Jar"""
SAUDI,Fahd or Faisal
ORCA,"400-pound calf, perhaps"
KATO,The Green Hornet's sidekick
DAY,See 10-Down
TONE,*Musical quality
BLTS,"Toasted sandwiches, for short"
AT RA,Gillette ___ Plus
HARP,Instrument capable of glissandi
AXE,Hacker
SWATH,Strip
PETE,Tampa-St. ___
DEL A,Oscar ___ Renta
ERO,Spanish occupational suffix
TALES,"""The Twilight Zone"" episodes, e.g."
TUB,Boat that's ready to be mothballed
KANE,"""Citizen"" of film"
ROE,Delicacy
BOXER,One working on a canvas?
TOKYO,"""Godzilla"" locale"
IRAQI,Like some dinars
EATEN,Moth-___
ROWS,Scraps
HIM,"""Get ___!"" (victim's cry)"
EXIT,Way to go
BIDS,Trump is often involved in these
TERM,Glossary entry
BEARS,Baylor athletes
BEN,"""Uncle"" on a food package"
EOE,Inits. in the classifieds
RIM,Grand Canyon spot
NEW,Unhandled
CAM,Kind of wheel
NCO,Certain G.I.
BO OP,"Betty who appeared in ""Who Framed Roger Rabbit"""
MIO,"""Dios ___!"""
BAD,Not good
PIE,Word with sugar or cream
SIENA,Touristy Tuscany town
SOU,Pittance
INN,Halfway house
SURE,"""Yeah, right"""
EAGER,Yearning
AM I,Buddy in Bordeaux
WAITZ,Repeat New York City Marathon winner Grete ___
DORK,Mr. Uncool
ELAL,It serves Jerusalem
ROUGH,Approximate
CREPT,Was sluggish?
YES,Ivan's da
LEGO,Toy brand
NO OP,Colloquial denial
UIE,It may be pulled on a road
CHOPS,They may get a licking
ON US,Difficult burden
FRI,Datebook abbr.
CLAM,Happy one
SCAM,Attorney general's investigation target
FOLLY,Unreason
TARDY,"Late, on a report card"
LITRE,Bath water unit
MAPS,Prepares a course for
SYNC,Out of ___ (not harmonizing)
DRAMA,Emmy classification
EEO,Want ad inits.
TRUST,Money you can't touch?
ISERE,River through the Savoy Alps
COO,Get all lovey-dovey
RUBE,Simpleton
DERE,"""___ Mable"" (W.W. I best seller)"
NEXT,Cry at a bakery
MATTE,Not shiny
FLAX,Raw material for Rumpelstiltskin
TO A,___ man
GREG,Oldest of the Brady bunch
GOING,"Word cried twice before ""gone"""
ENOCH,Tennyson's Arden
EVER,"""Did you ___?!"""
BERRA,Catcher in the World Series' only perfect game
GRID,Crossword maker's canvas
BEDS,Places for sprigs
MALE,Buck or boar
PLANT,Spy of a sort
CROOK,Tool for Bo-Peep
MEATS,Supermarket department
ANTE,Penny fee
NUT,Plumber's piece
ERMA,Singer Franklin who was Aretha's elder sister
SWEAR,Testify in court
SAM,"""Gunsmoke"" bartender"
QED,Argument closer
TRAIT,Blue eyes or curly hair
ELSIE,Borden milk's cow
SABLE,Luxurious fur
SERF,Feudal figure
DALAI,Part of a religious title
RRR,"Basics of education, briefly"
MADD,Volunteer org. launched in 1980
MINK,Fine fur
ACES,"Items up one's sleeve, maybe"
OSLO,1952 Olympics host
BARK,Medium for love letters?
DEAN,College official
NEG,Like certain battery terminals: Abbr.
QT RS,N.F.L. game divs.
TEXT,"Send a message to, these days"
SUB,Backup
JEEPS,Camp transports
COEUR,Sacré-___ (Paris landmark)
MEDEA,Euripides play
POOCH,Doggie
LUSH,"Luxuriant, as vegetation"
SARA,Manhattan's ___ D. Roosevelt Park
BOOTH,Ticket site
USNA,"""From knowledge, sea power"" org."
JANE,Young women's magazine
TORUS,Anchor ring
SWEEP,Succession of wins
COM,.biz alternative
MOOR,"Secure, in a way"
ROO,Aussie hopper
ARDOR,Heat
DATED,Passe
STET,Galley notation
ELIOT,"""The Waste Land"" poet"
ENTRE,"___-temps (meanwhile, in Metz)"
ESTER,Poly- follower
SOFT,Yielding readily to pressure
SHAWS,Newsman Bernard and others
IDAHO,Potato source
ARIEL,Sylvia Plath collection
FUEGO,"Fire, to Fernando"
PUSAN,U.N. beachhead during the Korean War
ERSE,It's spoken in Stornoway
LAYUP,It's not a long shot
IMAX,Big-screen movie format
TOO,"""Tippecanoe and Tyler ___"""
LOGES,Theater seats
PINE,"Loblolly, e.g."
GRAB,Appeal to
HAEC,"This one, to Ovid"
RE LO,"Move, quickly"
EER,Convention closing?
MAA,Sheep bleat
PRO,In favor
JUG,Water carrier
RTS,Many activists' concerns: Abbr.
LUNE,Sphere segment
TETON,"""Grand"" mountain"
PEG,Item to hang your hat on
DEANS,Entertainer Martin and others
DIVAS,Prima donnas
LAKES,"Aral and Caspian Seas, really"
TALK,Radio format
HOMES,Development units
GIAN,Composer _____ Carlo Menotti
ASCOT,English scarf
A LEG,Give_____ up (assist)
GURU,Ashram leader
DRESS,Concern of some codes
RED,Brave opponent
RILE,Make mad
GNOME,Troll's cousin
BYRON,"""Don Juan"" poet"
NAME,Big shot
CRIT,Lit ___
SHIER,One starting
SMU,"Home of the Mustangs, for short"
NICE,Pleasing
ALLEN,"Tim of ""Home Improvement"""
SOFIE,Swedish mezzo Anne ___ von Otter
NEVER,On the 31st of February
GALA,Kennedy Center happening
LORI,"Miss Loughlin of ""Full House"""
TOAST,Brown bread
TALC,Anti-rash powder
